time_sec,gpu_milli,cpu_milli,memory_mib,num_gpu
9680400,16440,332000,940345,28
9684000,16440,332000,940345,28
9687600,16440,332000,940345,28
9691200,16440,332000,940345,28
9694800,16440,332000,940345,28
9698400,16440,332000,940345,28
9702000,16440,332000,940345,28
9705600,16440,332000,940345,28
9709200,16440,332000,940345,28
9712800,16440,332000,940345,28
9716400,16440,332000,940345,28
9720000,16440,332000,940345,28
9723600,16440,332000,940345,28
9727200,16440,332000,940345,28
9730800,16440,332000,940345,28
9734400,16440,332000,940345,28
9738000,16440,332000,940345,28
9741600,16440,332000,940345,28
9745200,16440,332000,940345,28
9748800,16440,332000,940345,28
9752400,16440,332000,940345,28
9756000,16440,332000,940345,28
9759600,16440,332000,940345,28
9763200,16440,332000,940345,28
9766800,17440,344000,964921,29
9770400,17440,344000,964921,29
9774000,17440,344000,964921,29
9777600,17440,344000,964921,29
9781200,17440,344000,964921,29
9784800,17440,344000,964921,29
9788400,17440,344000,964921,29
9792000,17440,344000,964921,29
9795600,17440,344000,964921,29
9799200,17440,344000,964921,29
9802800,17440,344000,964921,29
9806400,17440,344000,964921,29
9810000,17440,344000,964921,29
9813600,17440,344000,964921,29
9817200,18440,360000,1014073,30
9820800,18550,364000,1029331,31
9824400,18550,364000,1029331,31
9828000,18550,364000,1029331,31
9831600,18550,364000,1029331,31
9835200,18550,364000,1029331,31
9838800,18550,364000,1029331,31
9842400,18550,364000,1029331,31
9846000,18550,364000,1029331,31
9849600,18550,364000,1029331,31
9853200,18550,364000,1029331,31
9856800,18550,364000,1029331,31
9860400,18550,364000,1029331,31
9864000,18550,364000,1029331,31
9867600,18550,364000,1029331,31
9871200,18550,364000,1029331,31
9874800,18550,364000,1029331,31
9878400,18550,364000,1029331,31
9882000,18550,364000,1029331,31
9885600,18550,364000,1029331,31
9889200,18550,364000,1029331,31
9892800,18550,364000,1029331,31
9896400,18550,364000,1029331,31
9900000,18550,364000,1029331,31
9903600,18550,364000,1029331,31
9907200,18550,364000,1029331,31
9910800,18550,364000,1029331,31
9914400,18550,364000,1029331,31
9918000,18550,364000,1029331,31
9921600,19550,380000,1062099,32
9925200,19550,380000,1062099,32
9928800,19550,380000,1062099,32
9932400,19550,380000,1062099,32
9936000,19550,380000,1062099,32
9939600,19870,381000,1064147,33
9943200,19870,381000,1064147,33
9946800,20870,397000,1096915,34
